University,Department,Name,Position,Link,Email,Research Focus
Berkeley,Dept of Materials Science and Engineering,Thomas M. Devine,,https://vcresearch.berkeley.edu/faculty/thomas-devine,,
Berkeley,Dept of Mechanical Engineering,Robert Dibble,,https://vcresearch.berkeley.edu/faculty/robert-dibble,,
Berkeley,Dept of Materials Science and Engineering,Oscar Dubon,,https://vcresearch.berkeley.edu/faculty/oscar-dubon,,
Berkeley,Dept of Bioengineering,John Dueber,,https://vcresearch.berkeley.edu/faculty/john-dueber,,
Berkeley,Division of Electrical Engineering (EECS),Prabal Dutta,,https://vcresearch.berkeley.edu/faculty/prabal-dutta,,
Berkeley,Division of Electrical Engineering (EECS),Laurent El Ghaoui,,https://vcresearch.berkeley.edu/faculty/laurent-el-ghaoui,,
Berkeley,Dept of Materials Science and Engineering,J. W. Evans,,https://vcresearch.berkeley.edu/faculty/james-evans,,
Berkeley,Division of Electrical Engineering (EECS),Hany Farid,,https://vcresearch.berkeley.edu/faculty/hany-farid,,
Berkeley,Dept of Mechanical Engineering,Carlos Fernandez-Pello,,https://vcresearch.berkeley.edu/faculty/carlos-fernandez-pello,,
Berkeley,Dept of Civil and Environmental Engineering,Filip C. Filippou,,https://vcresearch.berkeley.edu/faculty/filip-c-filippou,,
Berkeley,Dept of Industrial Engineering & Operations Research,Lee Fleming,,https://vcresearch.berkeley.edu/faculty/lee-fleming,,
Berkeley,Dept of Bioengineering,Daniel Fletcher,,https://vcresearch.berkeley.edu/faculty/daniel-fletcher,,
Berkeley,Dept of Nuclear Engineering,Massimiliano Fratoni,,https://vcresearch.berkeley.edu/faculty/massimiliano-fratoni,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Joelle Frechette,,https://vcresearch.berkeley.edu/faculty/joelle-frechette,,
Berkeley,Dept of Mechanical Engineering,Michael Frenklach,,https://vcresearch.berkeley.edu/faculty/michael-frenklach,,
Berkeley,Dept of Civil and Environmental Engineering,Ashok Gadgil,,https://vcresearch.berkeley.edu/faculty/ashok-gadgil,,
Berkeley,Dept of Civil and Environmental Engineering,Cynthia Gerlein-Safdi,,https://vcresearch.berkeley.edu/faculty/cynthia-gerlein-safdi,,
Berkeley,Dept of Civil and Environmental Engineering,Allen Goldstein,,https://vcresearch.berkeley.edu/faculty/allen-goldstein,,
Berkeley,Dept of Mechanical Engineering,Michael Gollner,,https://vcresearch.berkeley.edu/faculty/michael-gollner,,
Berkeley,Dept of Mechanical Engineering,Kosa Goucher-Lambert,,https://vcresearch.berkeley.edu/faculty/kosa-goucher-lambert,,
Berkeley,Dept of Civil and Environmental Engineering,Sanjay Govindjee,,https://vcresearch.berkeley.edu/faculty/sanjay-govindjee,,
Berkeley,Dept of Mechanical Engineering,Ralph Greif,,https://vcresearch.berkeley.edu/faculty/ralph-greif,,
Berkeley,Dept of Industrial Engineering & Operations Research,Paul Grigas,,https://vcresearch.berkeley.edu/faculty/paul-grigas,,
Berkeley,Dept of Mechanical Engineering,Costas P. Grigoropoulos,,https://vcresearch.berkeley.edu/faculty/costas-grigoropoulos,,
Berkeley,Dept of Mechanical Engineering,Grace Gu,,https://vcresearch.berkeley.edu/faculty/grace-gu,,
Berkeley,Dept of Industrial Engineering & Operations Research,Xin Guo,,https://vcresearch.berkeley.edu/faculty/xin-guo,,
Berkeley,Dept of Bioengineering,Leah Guthrie,,https://vcresearch.berkeley.edu/faculty/leah-guthrie,,
Berkeley,Dept of Civil and Environmental Engineering,Mark Hansen,,https://vcresearch.berkeley.edu/faculty/mark-hansen,,
Berkeley,Dept of Civil and Environmental Engineering,Robert Harley,,https://vcresearch.berkeley.edu/faculty/robert-harley,,
Berkeley,Dept of Bioengineering,Teresa Head-Gordon,,https://vcresearch.berkeley.edu/faculty/teresa-head-gordon,,
Berkeley,Dept of Bioengineering,Kevin Edward Healy,,https://vcresearch.berkeley.edu/faculty/kevin-edward-healy,,
Berkeley,Dept of Civil and Environmental Engineering,Slawomir W. Hermanowicz,,https://vcresearch.berkeley.edu/faculty/slawomir-w-hermanowicz,,
Berkeley,Dept of Bioengineering,Amy Herr,,https://vcresearch.berkeley.edu/faculty/amy-herr,,
Berkeley,Dept of Industrial Engineering & Operations Research,Dorit Hochbaum,,https://vcresearch.berkeley.edu/faculty/dorit-hochbaum,,
Berkeley,Dept of Bioengineering,Ian Holmes,,https://vcresearch.berkeley.edu/faculty/ian-holmes,,
Berkeley,Dept of Mechanical Engineering,Roberto Horowitz,,https://vcresearch.berkeley.edu/faculty/roberto-horowitz,,
Berkeley,Dept of Civil and Environmental Engineering,Arpad Horvath,,https://vcresearch.berkeley.edu/faculty/arpad-horvath,,
Berkeley,Dept of Nuclear Engineering,Peter Hosemann,,https://vcresearch.berkeley.edu/faculty/peter-hosemann,,
Berkeley,Dept of Bioengineering,Patrick Hsu,,https://vcresearch.berkeley.edu/faculty/patrick-hsu,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Enrique Iglesia,,https://vcresearch.berkeley.edu/faculty/enrique-iglesia,,
Berkeley,Dept of Civil and Environmental Engineering,Cesunica Ivey,,https://vcresearch.berkeley.edu/faculty/cesunica-ivey,,
Berkeley,Division of Electrical Engineering (EECS),Ali Javey,,https://vcresearch.berkeley.edu/faculty/ali-javey,,
Berkeley,Dept of Mechanical Engineering,Alexis Kaminski,,https://vcresearch.berkeley.edu/faculty/alexis-kaminski,,
Berkeley,Dept of Civil and Environmental Engineering,Adib Kanafani,,https://vcresearch.berkeley.edu/faculty/adib-kanafani,,
Berkeley,Division of Electrical Engineering (EECS),Boubacar Kante,,https://vcresearch.berkeley.edu/faculty/boubacar-kante,,
Berkeley,Dept of Chemical & Biomolecular Engineering,Alexander Katz,,https://vcresearch.berkeley.edu/faculty/alexander-katz,,
Berkeley,Dept of Mechanical Engineering,Homayoon Kazerooni,,https://vcresearch.berkeley.edu/faculty/homayoon-kazerooni,,
