University,Department,Name,Position,Link,Email,Research Focus,Profile_link
Stanford,Engineering,Eric Darve,Professor of Mechanical Engineering,https://engineering.stanford.edu/people/eric-darve,,,
Stanford,Engineering,Reinhold Dauskardt,Ruth G. and William K. Bowes Professor in the School of Engineering,https://engineering.stanford.edu/people/reinhold-dauskardt,,,
Stanford,Engineering,Jenna Davis,"Associate Dean for Integrative Initiatives in Institutes and International Partnerships, Professor of Civil and Environmental Engineering, at the Stanford Doerr School of Sustainability and Higgins-Magid Senior Fellow at the Woods Institute",https://engineering.stanford.edu/people/jenna-davis,,,
Stanford,Engineering,Gregory Deierlein,John A. Blume Professor in the School of Engineering,https://engineering.stanford.edu/people/gregory-deierlein,,,
Stanford,Engineering,"Scott L. Delp, Ph.D.","Director, Wu Tsai Human Performance Alliance at Stanford, James H. Clark Professor in the School of Engineering, Professor of Bioengineering, of Mechanical Engineering and, by courtesy, of Orthopaedic Surgery",https://engineering.stanford.edu/people/scott-delp,,,
Stanford,Engineering,Jennifer Dionne,Professor of Materials Science and Engineering,https://engineering.stanford.edu/people/jennifer-dionne,,,
Stanford,Engineering,Persis Drell,"Provost, Emerita, James and Anna Marie Spilker Professor, Professor of Materials Science and Engineering and of Physics",https://engineering.stanford.edu/people/persis-drell,,,
Stanford,Engineering,Leora Dresselhaus-Marais,"Assistant Professor of Materials Science and Engineering, of Photon Science and, by courtesy, of Mechanical Engineering",https://engineering.stanford.edu/people/leora-dresselhaus-marais,,,
Stanford,Engineering,Ron Dror,"Cheriton Family Professor and Professor, by courtesy, of Structural Biology and of Molecular & Cellular Physiology",https://engineering.stanford.edu/people/ron-dror,,,
Stanford,Engineering,John Duchi,"Associate Professor of Statistics, of Electrical Engineering and, by courtesy, of Computer Science",https://engineering.stanford.edu/people/john-duchi,,,
Stanford,Engineering,Alexander Dunn,Professor of Chemical Engineering,https://engineering.stanford.edu/people/alexander-dunn,,,
Stanford,Engineering,Zakir Durumeric,Assistant Professor of Computer Science,https://engineering.stanford.edu/people/zakir-durumeric,,,
Stanford,Engineering,Christopher Edwards,"Professor of Mechanical Engineering, Emeritus",https://engineering.stanford.edu/people/chris-edwards,,,
Stanford,Engineering,Matthew R. Edwards,Assistant Professor of Mechanical Engineering,https://engineering.stanford.edu/people/matthew-edwards,,,
Stanford,Engineering,Charles (Chuck) Eesley,Associate Professor of Management Science and Engineering,https://engineering.stanford.edu/people/charles-eesley,,,
Stanford,Engineering,Kathleen Eisenhardt,"Stanford W. Ascherman, M.D. Professor in the School of Engineering",https://engineering.stanford.edu/people/kathleen-eisenhardt,,,
Stanford,Engineering,Abbas El Gamal,Hitachi America Professor in the School of Engineering,https://engineering.stanford.edu/people/abbas-el-gamal,,,
Stanford,Engineering,Sigrid Elschot,Associate Professor of Aeronautics and Astronautics,https://engineering.stanford.edu/people/sigrid-elschot,,,
Stanford,Engineering,Drew Endy,"Associate Professor of Bioengineering and Senior Fellow, by courtesy, at the Hoover Institution and at the Freeman Spogli Institute for International Studies",https://engineering.stanford.edu/people/drew-endy,,,
Stanford,Engineering,Dawson Engler,Associate Professor of Computer Science and of Electrical Engineering,https://engineering.stanford.edu/people/dawson-engler,,,
Stanford,Engineering,Stefano Ermon,Associate Professor of Computer Science and Senior Fellow at the Woods Institute for the Environment,https://engineering.stanford.edu/people/stefano-ermon,,,
Stanford,Engineering,Jonathan Fan,Associate Professor of Electrical Engineering,https://engineering.stanford.edu/people/jonathan-fan,,,
Stanford,Engineering,Shanhui Fan,"Joseph and Hon Mai Goodman Professor of the School of Engineering and Professor, by courtesy, of Applied Physics",https://engineering.stanford.edu/people/shanhui-fan,,,
Stanford,Engineering,Charbel Farhat,Vivian Church Hoff Professor of Aircraft Structures and Professor of Aeronautics and Astronautics,https://engineering.stanford.edu/people/charbel-farhat,,,
Stanford,Engineering,Kayvon Fatahalian,Associate Professor of Computer Science,https://engineering.stanford.edu/people/kayvon-fatahalian,,,
Stanford,Engineering,Ron Fedkiw,Canon Professor in the School of Engineering,https://engineering.stanford.edu/people/ron-fedkiw,,,
Stanford,Engineering,Chelsea Finn,Assistant Professor of Computer Science and of Electrical Engineering,https://engineering.stanford.edu/people/chelsea-finn,,,
Stanford,Engineering,Michael Fischbach,Liu (Liao) Family Professor,https://engineering.stanford.edu/people/michael-fischbach,,,
Stanford,Engineering,Martin Fischer,Kumagai Professor in the School of Engineering,https://engineering.stanford.edu/people/martin-fischer,,,
Stanford,Engineering,Sarah Fletcher,Assistant Professor of Civil and Environmental Engineering and Center Fellow at the Woods Institute for the Environment,https://engineering.stanford.edu/people/sarah-fletcher,,,
Stanford,Engineering,Sean Follmer,"Associate Professor of Mechanical Engineering and, by courtesy, of Computer Science",https://engineering.stanford.edu/people/sean-follmer,,,
Stanford,Engineering,David Freyberg,"Associate Professor of Civil and Environmental Engineering, Emeritus",https://engineering.stanford.edu/people/david-freyberg,,,
Stanford,Engineering,Oliver Fringer,Professor of Civil and Environmental Engineering and of Oceans,https://engineering.stanford.edu/people/oliver-fringer,,,
Stanford,Engineering,Gerald Fuller,Fletcher Jones Professor in the School of Engineering,https://engineering.stanford.edu/people/gerald-fuller,,,
Stanford,Engineering,Grace Gao,"Assistant Professor of Aeronautics and Astronautics and, by courtesy, of Electrical Engineering",https://engineering.stanford.edu/people/grace-gao,,,
Stanford,Engineering,Xiaojing Gao,Assistant Professor of Chemical Engineering,https://engineering.stanford.edu/people/xiaojing-gao,,,
Stanford,Engineering,Matthias Garten,Assistant Professor of Microbiology and of Bioengineering,https://engineering.stanford.edu/people/matthias-garten,,,
Stanford,Engineering,Michael Genesereth,Associate Professor of Computer Science,https://engineering.stanford.edu/people/michael-genesereth,,,
Stanford,Engineering,Margot Gerritsen,"Professor of Energy Resources Engineering, Emerita",https://engineering.stanford.edu/people/margot-gerritsen,,,
Stanford,Engineering,Kay Giesecke,Professor of Management Science and Engineering,https://engineering.stanford.edu/people/kay-giesecke,,,
Stanford,Engineering,Bernd Girod,"Robert L. and Audrey S. Hancock Professor in the School of Engineering, Emeritus",https://engineering.stanford.edu/people/bernd-girod,,,
Stanford,Engineering,Peter Glynn,"Thomas W. Ford Professor in the School of Engineering and Professor, by courtesy, of Electrical Engineering",https://engineering.stanford.edu/people/peter-glynn,,,
Stanford,Engineering,Ashish Goel,"Professor of Management Science and Engineering and, by courtesy, of Computer Science",https://engineering.stanford.edu/people/ashish-goel,,,
Stanford,Engineering,Noah Goodman,"Associate Professor of Psychology, of Computer Science and, by courtesy, of Linguistics",https://engineering.stanford.edu/people/noah-goodman,,,
Stanford,Engineering,Kenneth Goodson,"Senior Associate Dean for Faculty and Academic Affairs, Davies Family Provostial Professor, and Professor, by courtesy, of Materials Science and Engineering",https://engineering.stanford.edu/people/kenneth-goodson,,,
Stanford,Engineering,Catherine Gorle,"Associate Professor of Civil and Environmental Engineering and, by courtesy, of Mechanical Engineering",https://engineering.stanford.edu/people/catherine-gorle,,,
Stanford,Engineering,Wendy Gu,"Assistant Professor of Mechanical Engineering and, by courtesy, of Materials Science and Engineering",https://engineering.stanford.edu/people/wendy-gu,,,
Stanford,Engineering,Carlos Ernesto Guestrin,Professor of Computer Science,https://engineering.stanford.edu/people/carlos-guestrin,,,
Stanford,Engineering,Leonidas Guibas,"Paul Pigott Professor of Engineering and Professor, by courtesy, of Electrical Engineering",https://engineering.stanford.edu/people/leonidas-guibas,,,
Stanford,Engineering,Pat Hanrahan,"Canon Professor in the School of Engineering and Professor of Electrical Engineering, Emeritus",https://engineering.stanford.edu/people/pat-hanrahan,,,
Stanford,Engineering,Ronald Hanson,Clarence J. and Patricia R. Woodard Professor of Mechanical Engineering,https://engineering.stanford.edu/people/ronald-hanson,,,
Stanford,Engineering,Kentaro Hara,Assistant Professor of Aeronautics and Astronautics,https://engineering.stanford.edu/people/ken-hara,,,
Stanford,Engineering,Tatsunori Hashimoto,Assistant Professor of Computer Science,https://engineering.stanford.edu/people/tatsunori-hashimoto,,,
